PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
-80	-70	-40	-30	4	-71.3	1.097	-34.5	2.943	1.333	0.016	1.451	0.008	0	0	1.512	0.026	1.232	0.017	119.975	1.362	0	0	114.8	2.162	0	0	119.9	1.16	116.35	1.287	121.7	0.983	180	5.935	
-80	-70	-10	0	4	-75.2	3.758	-3.6	3.426	1.32	0.029	1.451	0.017	0	0	1.507	0.022	1.231	0.012	121.225	3.116	0	0	116.25	0.733	0	0	118.55	0.866	117.55	0.705	122.95	1.678	176.2	4.58	
-80	-70	0	10	2	-77.8	2.065	3.7	3.557	1.353	0.018	1.432	0.02	0	0	1.51	0.001	1.225	0.001	122.55	3.748	0	0	115.65	1.061	0	0	120.2	1.414	119	0.566	120.4	1.131	178.5	1.648	
-80	-70	130	140	3	-76.1	2.769	136.6	3.479	1.336	0.013	1.455	0.012	0	0	1.524	0.028	1.24	0.009	120.3	2.252	0	0	111	2.066	0	0	121.133	1.29	116	1.015	122.367	1.286	181.2	2.927	
-80	-70	-160	-150	2	-78.3	0.658	-156.5	2.164	1.326	0.006	1.449	0.011	0	0	1.514	0.008	1.24	0.011	121.25	1.061	0	0	110.25	0.919	0	0	121.55	0.919	114.9	0.424	123.85	0.071	184.2	1.181	
-80	-70	90	100	1	-77.9	0	95.7	0	1.324	0	1.459	0	0	0	1.489	0	1.267	0	121.6	0	0	0	110.7	0	0	0	122.1	0	116.6	0	121.9	0	180	0	
-60	-50	-40	-30	14	-56.9	2.299	-35.4	2.943	1.331	0.023	1.449	0.019	0	0	1.513	0.014	1.234	0.01	119.9	1.186	0	0	113.114	1.169	0	0	120.557	0.807	117.129	1.55	122.036	1.012	179.3	3.054	
-60	-50	-50	-40	22	-57	2.283	-43.7	2.094	1.334	0.011	1.454	0.013	0	0	1.513	0.011	1.232	0.01	120.295	1.262	0	0	112.732	1.271	0	0	121.091	0.866	117.191	1.209	122.077	0.696	179.2	3.874	
-60	-50	140	150	1	-59.7	0	145.3	0	1.321	0	1.449	0	0	0	1.508	0	1.237	0	118.9	0	0	0	110.7	0	0	0	120	0	116.3	0	121.9	0	174.4	0	
-60	-50	-60	-50	3	-57.3	1.878	-52.7	2.259	1.324	0.008	1.451	0.012	0	0	1.504	0.018	1.236	0.007	120.133	0.351	0	0	113.933	1.266	0	0	122.533	1.387	118.367	0.929	121.6	0.557	178.9	1.794	
