PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
-90	-80	60	70	3	-84.9	0.612	68.7	1.998	1.336	0.012	1.489	0.023	1.526	0.016	1.524	0.002	1.258	0.003	121.067	0.907	102.267	1.234	111.6	1.873	113.933	1.102	121.933	1.595	118.2	0.173	122.833	0.493	183.5	2.737	
-90	-80	70	80	3	-80.6	0.123	72.6	2.415	1.507	0.279	1.473	0.006	1.534	0.014	1.52	0.009	1.224	0.025	118.367	4.302	102.3	0.608	111.9	1.253	113.133	1.35	124	2.261	115.067	5.918	124.9	5.897	185.4	1.651	
-90	-80	160	170	9	-83.5	2.365	164.3	3.077	1.331	0.015	1.459	0.012	1.544	0.012	1.531	0.014	1.232	0.014	120.811	1.082	102.322	0.777	111.433	1.697	110.022	1.674	122.278	1.615	117.967	1.566	121.711	0.825	170.9	8.369	
-90	-80	-10	0	6	-82.4	2.573	-4.7	2.287	1.331	0.005	1.465	0.009	1.524	0.012	1.524	0.009	1.233	0.014	120.933	0.589	102.767	0.931	113.333	1.196	110.583	0.939	118.65	1.025	119.2	1.226	121.283	0.913	186.1	5.907	
-90	-80	0	10	4	-83.1	1.796	4.7	1.475	1.327	0.009	1.476	0.029	1.536	0.01	1.523	0.004	1.23	0.003	121.1	0.683	103.225	0.699	114.525	0.834	110.05	0.37	119	1.78	118.875	2.532	121.725	0.591	184.9	4.07	
-90	-80	150	160	4	-83.3	1.202	152.8	2.082	1.339	0.016	1.464	0.007	1.534	0.009	1.522	0.008	1.23	0.012	121.625	0.929	102	0.346	112.8	2.238	109.625	2.271	122.075	1.552	115.475	1.969	122.625	0.512	169.7	12.946	
-90	-80	140	150	5	-83.9	2.749	145.8	2.075	1.334	0.013	1.463	0.012	1.544	0.005	1.516	0.012	1.235	0.009	120.76	1.417	102.04	0.716	111.64	1.659	110.52	1.74	122.28	1.372	118.14	2.203	121.3	1.512	171.9	9.406	
-90	-80	80	90	4	-83.7	1.586	83.4	4.235	1.334	0.024	1.481	0.022	1.528	0.006	1.535	0.009	1.223	0.018	121.625	0.946	103.025	0.608	113.75	4.124	111.075	1.468	123.075	0.854	119.05	0.719	121.475	0.419	177	6.448	
-90	-80	110	120	3	-80.9	0.731	115.5	3.395	1.336	0.009	1.476	0.015	1.534	0.016	1.519	0.011	1.231	0.008	119.867	2.309	102.6	0.557	110.167	2.631	111.667	0.907	121.533	1.401	117.567	1.665	121.967	1.65	177.8	3.951	
-90	-80	170	180	5	-83.2	3.452	174.5	1.663	1.318	0.011	1.461	0.007	1.524	0.007	1.527	0.01	1.232	0.007	121.54	1.176	102.68	0.884	109.62	1.561	109.98	2.139	120.94	0.786	117.44	1.313	121.76	1.104	173.5	5.165	
