PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-150	-140	150	160	10	-143.6	2.738	155.2	2.26	1.326	0.007	1.452	0.009	1.53	0.011	1.523	0.014	1.237	0.009	122.75	1.794	112.39	1.647	108.24	1.065	109.25	2.21	120.25	1.092	116.83	1.417	123.1	0.958	177.3	7.969	-2	-150	150	10	10	-15	15	
-150	-140	160	170	3	-144.3	3.628	163.5	2.483	1.318	0.011	1.453	0.009	1.025	0.888	1.51	0.016	1.243	0.014	121.867	1.102	74.2	64.259	110.067	0.473	73.067	63.293	120.867	0.971	117.9	1.212	121.833	0.971	179.6	4.607	0	-150	160	10	10	-15	16	
-150	-140	120	130	1	-146.3	0	122.4	0	1.319	0	1.466	0	1.545	0	1.505	0	1.236	0	121.5	0	109.2	0	106.8	0	111.4	0	118.7	0	113.7	0	125	0	184.9	0	-3	-150	120	10	10	-15	12	
-80	-70	170	180	10	-74.8	2.435	173.3	2.115	1.332	0.019	1.449	0.019	1.067	0.737	1.523	0.015	1.234	0.014	121.67	1.614	74.95	51.835	110.35	2.586	78.17	53.967	120.85	1.697	116.77	1.067	122.11	1.788	183.7	6.557	0	-80	170	10	10	-8	17	
-80	-70	150	160	13	-76.4	2.566	154	2.709	1.328	0.015	1.451	0.013	1.525	0.015	1.529	0.018	1.23	0.012	120.862	1.493	109.985	1.647	110.262	1.902	108.746	1.6	121.154	0.943	117.077	1.977	122.354	0.852	175.5	6.307	0	-80	150	10	10	-8	15	
-80	-70	130	140	11	-74	2.542	135.5	2.867	1.324	0.016	1.465	0.014	1.534	0.031	1.522	0.014	1.237	0.015	120.691	1.394	110.055	1.331	109.282	1.112	110.882	1.53	119.809	0.972	118.382	1.898	121.718	0.98	177	6.665	-1	-80	130	10	10	-8	13	
-80	-70	160	170	8	-74.4	2.9	162.7	1.576	1.334	0.011	1.45	0.021	1.524	0.013	1.526	0.011	1.231	0.008	121.088	2.012	108.675	2.704	110.263	1.112	110.238	2.16	120.775	1.113	116.65	1.679	122.463	1.37	178.7	7.393	0	-80	160	10	10	-8	16	
-80	-70	140	150	15	-76.3	2.544	144.5	2.562	1.329	0.016	1.455	0.017	1.528	0.017	1.525	0.018	1.234	0.012	121.067	1.424	110.153	0.684	110.433	0.992	109.187	0.982	120	1.143	117.767	1.668	121.56	1.438	175.7	8.316	0	-80	140	10	10	-8	14	
-80	-70	120	130	9	-74.7	2.402	126.3	3.237	1.324	0.025	1.457	0.011	1.531	0.017	1.525	0.008	1.233	0.012	120.156	1.441	109.533	2.128	109.144	1.188	109.967	1.984	119.833	0.721	116.911	1.9	122.811	0.91	179	3.753	-1	-80	120	10	10	-8	12	
-80	-70	-40	-30	2	-73.7	4.766	-33.5	2.475	1.336	0.013	1.461	0.022	1.54	0.003	1.53	0.004	1.245	0.005	119.5	0.141	109.65	0.778	114.6	0.141	109.7	0.707	117.9	0.707	115.45	0.354	122.45	1.344	178.9	0.7	5	-80	-40	10	10	-8	-4	
-80	-70	110	120	5	-72.2	2.749	116.6	3.061	1.322	0.012	1.471	0.027	1.534	0.015	1.525	0.014	1.237	0.005	120.08	0.65	108	2.861	109	1.227	110.64	0.643	119.52	0.311	118.88	1.344	122.18	0.487	184.7	3.842	-1	-80	110	10	10	-8	11	
-80	-70	-60	-50	1	-73.9	0	-53.8	0	1.362	0	1.464	0	1.542	0	1.527	0	1.244	0	119.8	0	110.6	0	112.6	0	112.8	0	119.6	0	115.9	0	124.1	0	185.5	0	3	-80	-60	10	10	-8	-6	
-80	-70	-180	-170	2	-71.2	1.457	-178.2	0.912	1.325	0.004	1.429	0.011	0	0	1.536	0.005	1.232	0.002	122.05	1.485	0	0	111.3	1.697	0	0	120.65	0.212	115.65	2.616	123.1	2.404	184.5	10.734	1	-80	-180	10	10	-8	-18	
-130	-120	-180	-170	1	-123.5	0	-175.9	0	1.33	0	1.465	0	0	0	1.503	0	1.24	0	124.2	0	0	0	109.5	0	0	0	121.4	0	115.3	0	121.4	0	181.3	0	-1	-130	-180	10	10	-13	-18	
-130	-120	160	170	5	-125	2.612	163.1	2.104	1.326	0.014	1.452	0.007	1.538	0.018	1.517	0.017	1.237	0.012	124.26	1.496	109.98	1.283	109	2.419	109.08	1.721	121.06	0.891	116.2	2.331	123.68	0.691	173.5	7.508	-1	-130	160	10	10	-13	16	
-130	-120	80	90	8	-126.4	3.166	83.8	2.744	1.323	0.024	1.47	0.014	1.529	0.021	1.524	0.014	1.237	0.012	124.275	1.673	110.988	1.76	107.263	2.566	112.713	2.998	120.275	1.155	116.45	1.485	123.062	1.171	185	7.513	-3	-130	80	10	10	-13	8	
-130	-120	60	70	14	-126.8	3.272	65.6	2.539	1.327	0.014	1.464	0.009	1.529	0.009	1.526	0.014	1.236	0.014	123.493	1.516	110.579	1.076	110.064	1.603	111.064	1.591	121.35	1.303	117.021	2.39	123.079	1.299	184.8	4.537	0	-130	60	10	10	-13	6	
-130	-120	-90	-80	1	-128.4	0	-84.6	0	1.334	0	1.443	0	0	0	1.52	0	1.23	0	122.7	0	0	0	114	0	0	0	120.7	0	119	0	121.6	0	190	0	4	-130	-90	10	10	-13	-9	
-130	-120	90	100	6	-124	3.164	95.1	4.328	1.333	0.012	1.466	0.014	1.525	0.02	1.523	0.011	1.249	0.017	123.183	2.113	111.5	1.576	107.067	1.289	111.133	0.52	121.167	0.961	115.75	1.412	123.45	1.019	181	5.394	-3	-130	90	10	10	-13	9	
-130	-120	70	80	13	-124.9	2.487	74.8	2.831	1.337	0.012	1.459	0.011	1.526	0.008	1.526	0.009	1.243	0.011	123.477	1.45	111.923	2.037	107.785	1.656	110.923	1.474	120.477	1.317	115.862	1.735	123.792	1.138	187.2	4.368	-2	-130	70	10	10	-13	7	
-130	-120	140	150	6	-127.2	2.435	145.5	3.349	1.332	0.012	1.446	0.014	1.536	0.022	1.521	0.016	1.221	0.028	120.883	3.828	109.933	1.216	110.55	1.688	109.55	1.258	120.567	2.01	115.383	2.547	124.083	1.432	181.1	7.54	1	-130	140	10	10	-13	14	
-130	-120	150	160	9	-124.7	2.349	156.3	2.788	1.323	0.014	1.455	0.008	1.541	0.009	1.525	0.007	1.236	0.009	123.156	1.535	111.011	1.245	108.833	1.184	110.122	2.171	120.156	1.632	116.744	1.728	123.133	0.866	174.8	5.134	-1	-130	150	10	10	-13	15	
-130	-120	100	110	5	-125.2	2.846	102.5	2.178	1.327	0.007	1.454	0.009	1.525	0.013	1.528	0.012	1.238	0.015	122.78	1.132	111.62	1.436	109.18	1.92	109.6	1.655	120.22	1.829	116.94	2.028	123.52	1.143	180.3	6.525	-1	-130	100	10	10	-13	10	
-130	-120	50	60	3	-127.6	1.612	53.4	4.126	1.33	0.015	1.452	0.006	1.52	0.017	1.526	0.012	1.232	0.016	121.967	1.677	111.067	1.106	112.133	0.737	111.767	0.987	120.067	0.462	117.5	0.52	123.267	0.611	178.6	10.456	2	-130	50	10	10	-13	5	
-130	-120	110	120	6	-127.1	1.624	115.1	2.334	1.333	0.009	1.457	0.005	1.536	0.008	1.521	0.01	1.241	0.015	122.783	0.997	110.75	1.903	108.65	2.719	110.6	1.527	119.883	0.76	117.033	1.606	122.767	0.543	177.5	4.696	-1	-130	110	10	10	-13	11	
-130	-120	120	130	3	-126.3	3.563	124.9	2.246	1.334	0.007	1.463	0.011	1.534	0.017	1.522	0.004	1.246	0.018	122.6	1.48	112.167	1.419	107.7	1.153	110.067	1.124	119.367	0.907	117.133	2.542	123.267	0.058	180.4	1.542	-2	-130	120	10	10	-13	12	
-130	-120	130	140	4	-126.8	1.898	134.7	4.359	1.337	0.007	1.447	0.009	1.535	0.01	1.524	0.002	1.242	0.01	122.9	1.715	110.925	2.542	109.7	1.431	109.325	2.043	119.975	0.67	117.4	1.428	122.875	0.525	174.3	7.575	-0	-130	130	10	10	-13	13	
-160	-150	160	170	5	-157.3	1.129	163.7	3.035	1.341	0.005	1.462	0.006	1.539	0.014	1.517	0.01	1.244	0.009	121.3	1.449	111.08	0.853	108.34	0.329	111.26	0.518	120.84	1.041	116.18	1.205	122.64	1.161	181.5	1.942	-2	-160	160	10	10	-16	16	
