PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-60	-50	-40	-30	48	-55.9	2.632	-35.5	2.949	1.334	0.018	1.47	0.013	1.534	0.015	1.52	0.014	1.237	0.012	119.579	1.271	103.367	1.197	113.617	1.389	112.104	1.932	119.871	1.854	118.767	1.889	121.071	1.464	180.9	3.256	8	-60	-40	10	10	-6	-4	
-60	-50	-30	-20	19	-57.7	1.64	-27.2	2.434	1.327	0.012	1.47	0.015	1.535	0.015	1.508	0.022	1.239	0.019	119.726	1.223	103.289	1.106	114.5	1.54	112.142	1.474	119.826	1.28	118.521	2.294	121.537	1.609	179.8	3.875	5	-60	-30	10	10	-6	-3	
-60	-50	150	160	17	-57.5	2.119	152.7	2.444	1.331	0.012	1.464	0.012	1.535	0.011	1.519	0.011	1.232	0.015	119.694	0.57	103.047	0.627	111.024	1.573	110.871	1.325	121.641	1.081	118.053	1.33	121.412	1.256	177.9	5.451	5	-60	150	10	10	-6	15	
-60	-50	140	150	45	-56.1	2.805	144.6	2.771	1.331	0.013	1.467	0.012	1.53	0.01	1.524	0.01	1.233	0.01	119.98	1.023	103.42	0.71	110.973	1.588	111.602	1.274	121.262	1.057	118.429	1.374	121.073	1.221	178.8	5.847	8	-60	140	10	10	-6	14	
-60	-50	-50	-40	26	-55.9	3.025	-43.6	2.355	1.336	0.012	1.475	0.013	1.531	0.016	1.519	0.012	1.238	0.013	118.888	0.918	103.146	0.852	113.446	1.533	113.296	1.157	120.173	1.11	119.065	1.916	121.065	0.78	181.4	2.47	8	-60	-50	10	10	-6	-5	
-60	-50	130	140	42	-55.5	2.437	135.7	2.409	1.329	0.013	1.466	0.011	1.533	0.015	1.524	0.011	1.232	0.013	119.788	1.176	103.214	0.984	111.217	1.694	111.617	1.072	121.488	1.108	118.033	1.471	121.45	0.881	179.7	4.433	8	-60	130	10	10	-6	13	
-60	-50	120	130	5	-57.8	1.439	127.5	1.854	1.333	0.006	1.471	0.021	1.523	0.01	1.517	0.009	1.242	0.012	120.78	1.232	102.42	0.148	110.8	1.147	112.98	1.395	121.12	0.887	117.84	0.716	121.44	0.716	182.7	5.478	-1	-60	120	10	10	-6	12	
-60	-50	160	170	2	-58.8	0.7	161	1.195	1.334	0.011	1.462	0	1.544	0.026	1.528	0.001	1.222	0.006	121.8	2.687	103.95	1.061	112.15	0.071	112.1	1.131	122	0.424	118.3	0.99	121.25	0.636	188.2	6.498	-4	-60	160	10	10	-6	16	
-60	-50	-20	-10	3	-59.4	0.523	-18.4	1.956	1.333	0.004	1.476	0.004	1.538	0.017	1.507	0.005	1.24	0.011	119.233	1.069	103.5	1.039	113.733	1.62	111.067	1.041	119.333	1.32	119.5	1.646	121.4	0.721	178.9	5.001	-1	-60	-20	10	10	-6	-2	
-60	-50	-60	-50	3	-54.2	1.436	-52.1	1.025	1.334	0.006	1.479	0.007	1.544	0.005	1.519	0.015	1.235	0.025	119.167	1.358	102.1	1.539	113.8	2.022	114.833	1.457	120.7	0.458	120.5	1.054	120.967	0.651	181.1	5.884	-1	-60	-60	10	10	-6	-6	
